Pasture,Exclosure,Transect,Grazed,Ecologial Site,1989 Burn,1994 Burn,2017 Burn,2018 Burn,Species,YR2011,YR2014,YR2017,YR2020
2S,1A,U2,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,PRVE,480,477,538,566
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,PRVE,393,290,458,565
6D,7,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,499,472,510,563
UA Cell E,28,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,PRVE,398,435,495,508
UA Cell E,28,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,PRVE,454,435,450,492
2S,1A,G4,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,426,403,373,461
6A,40,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,247,210,353,460
2S,1A,U1,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,PRVE,349,308,377,451
2S,1A,U5,No,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,PRVE,314,303,365,441
2S,1A,G3,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,305,300,352,437
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,PRVE,388,343,430,429
UA Cell E,28,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,PRVE,283,302,345,426
2S,1A,U4,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,259,308,327,426
8,13,G1,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,PRVE,319,292,460,412
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,PRVE,308,244,359,412
2S,1A,U6,No,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,PRVE,325,302,329,412
8,15,G2,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,PRVE,297,251,350,411
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,PRVE,267,210,305,410
UA Cell E,28,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,PRVE,360,301,270,397
6D,7,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,303,255,334,394
2S,35B,G2,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,PRVE,233,228,288,392
2S,1A,G2,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,PRVE,299,321,352,382
2N,4,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,280,314,246,372
2S,1A,G6,Yes,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,PRVE,278,216,295,371
2N,6,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,PRVE,379,313,345,363
6D,7,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,289,204,274,361
2S,1A,U3,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,312,244,304,348
2N,5,G1,Yes,"SLU 12-16"" Pz, Sasabe Soil",No,No,No,No,PRVE,252,298,244,343
2S,35B,U2,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,PRVE,225,291,392,333
2N,2B,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,238,212,250,328
8,15,U2,No,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,PRVE,133,183,270,320
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,PRVE,273,156,310,314
2N,2B,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,210,96,147,312
2N,4,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,214,234,228,311
5 Mid,12,G2,Yes,"SLU 10-13"" Pz, Tubac Soil",No,No,No,No,PRVE,294,284,270,304
2S,35B,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,PRVE,218,322,272,302
UA Cell D,23,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,PRVE,169,150,131,301
UA Cell D,23,G2,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,PRVE,234,155,195,300
6A,40,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,225,168,283,298
6D,7,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,343,248,249,295
2S,35B,U1,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,PRVE,250,192,237,292
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,PRVE,234,208,312,273
2S,35A,U2,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,PRVE,146,121,236,273
2N,6,G2,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,PRVE,183,245,170,273
UA Cell B,42,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,PRVE,223,203,203,271
4,11,U1,No,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,MIDY,165,80,130,269
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,PRVE,240,157,222,267
2N,4,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,225,226,255,263
3,19,G1,Yes,"SLD 10-13"" Pz, Hayhook Soil",No,No,No,No,PRVE,92,141,129,262
2S,1A,G5,Yes,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,PRVE,202,215,180,257
8,15,U1,No,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,PRVE,192,115,195,248
5 Mid,12,U2,No,"SLU 10-13"" Pz, Tubac Soil",No,No,No,No,PRVE,241,237,283,246
2N,6,U1,No,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,PRVE,270,269,268,245
2N,6,U2,No,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,PRVE,220,204,207,241
UA Cell D,23,U1,No,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,PRVE,231,109,84,236
6D,22,G2,Yes,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,PRVE,193,214,217,233
2N,4,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,225,238,379,232
2S,35A,U1,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,PRVE,192,131,176,230
UA Cell D,23,U2,No,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,PRVE,144,136,149,224
2S,35A,G2,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,PRVE,158,170,204,218
6A,8,G1,Yes,"SLD 12-16"" Pz, Combate Soil",No,Yes,No,No,PRVE,184,144,190,193
UA Cell B,42,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,GUSA,5,24,116,192
6D,22,U2,No,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,PRVE,90,130,117,189
3,19,U1,No,"SLD 10-13"" Pz, Hayhook Soil",No,No,No,No,PRVE,131,127,101,184
3,19,U2,No,"SLD 10-13"" Pz, Hayhook Soil",No,No,No,No,PRVE,103,55,89,182
6A,8,U2,No,"SLD 12-16"" Pz, Combate Soil",No,Yes,No,No,PRVE,174,161,189,177
2N,2B,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,101,106,128,176
12C,41,U1,No,"LU 12-16"" Pz, Whitehouse Soil",No,Yes,No,No,PRVE,187,187,203,175
6A,40,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,172,79,184,174
4,9,U1,No,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,PRVE,65,16,91,172
2N,2B,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,156,116,120,168
4,9,G1,Yes,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,PRVE,147,130,149,167
5 Mid,12,U1,No,"SLU 10-13"" Pz, Tubac Soil",No,No,No,No,OPEN,188,86,160,156
2N,5,U1,No,"SLU 12-16"" Pz, Sasabe Soil",No,No,No,No,OPEN,114,115,174,155
2S,35A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,PRVE,129,135,162,149
2N,5,G2,Yes,"SLU 12-16"" Pz, Sasabe Soil",No,No,No,No,PRVE,132,113,49,143
4,9,U2,No,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,PRVE,142,122,122,130
6D,22,G1,Yes,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,PRVE,94,118,114,127
6A,8,G2,Yes,"SLD 12-16"" Pz, Combate Soil",No,Yes,No,No,PRVE,134,135,135,125
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,PRVE,136,116,116,123
6A,8,U1,No,"SLD 12-16"" Pz, Combate Soil",No,Yes,No,No,PRVE,148,112,127,118
12C,41,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,Yes,No,No,PRVE,126,87,105,118
6D,22,G2,Yes,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,CEFL,114,123,120,113
4,11,U2,No,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,MIDY,69,43,93,110
4,9,G2,Yes,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,PRVE,152,92,86,108
4,11,U2,No,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ERCU,52,53,64,96
6A,40,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,PRVE,72,87,83,94
2S,35A,G2,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,APTE,30,23,80,93
2N,2B,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,APTE,0,21,60,93
5 Mid,12,U2,No,"SLU 10-13"" Pz, Tubac Soil",No,No,No,No,OPEN,77,45,86,92
